software_name,vendor,status,system_owner,facility,summary_verified,software_summary,aliases,tags,price,term,term_start,term_end,licenses,contract_invoice,notes
Acronis,,Unknown,,TBD,,Mobile Device Management,,,,,,,,,
Adobe Acrobat Pro or Standard,,In service,Anthony Trujillo,TBD,,PDF Editing Software,,,,,,,,,
Adobe Acrobat Reader,,In service,Anthony Trujillo,TBD,,PDF Viewing Software,,Document reader,,,,,,,
ADP,,In service,Sheila Pelletier,All,,"Payroll, Timekeeping & HRIS",,,,,,,,,
Apple Business Manager,,In service,Anthony Trujillo,TBD,,Apple Device Management for Businesses,,MDM,,,,,,,
Blackline,,In service,Marc Johnson,TBD,,Financial Close Management,,,,,,,,,Web-based software to streamline and automate the financial close and reconciliation process. Integrates with other softwares.
BookStack,,Unknown,,TBD,,Documentation Platform,,,,,,,,,
Carbonite Backup,Carbonite,Unknown,Geremia Doan,TBD,,Data Backup Solutions,,,,,,,,,
CareTracker,Oracle,Upcoming Renewal,Rogi Poblete,TBD,,Healthcare Management Software,,,24060,Annually,2024-01-05,2025-04-30,1,,6/12/2024 - Geremia requested that this be moved to monthly billing
Cisco Meraki Dashboard,,Under Review,Geremia Doan,TBD,,Network Management Dashboard,,,,,,,,,
Connectwise Control,,Archived,"Geremia Doan, Anthony Trujillo",TBD,,Remote IT Support Software,,,,,,,,,
Coronet,,In service,"Francis Ferma, Geremia Doan",TBD,,Cybersecurity Solutions,,Security,,,,,,,
DocLink,,In service,Whitney Raiford,TBD,,Document Management Solutions,,Document management,,,,,,,
Dynamics Great Plains (GP),,EOL Approaching,"Jon Andrews, Marc Johnson",TBD,,Financial Management Software,,,,,,,,,"Per wzumpano@tmc-la.com, EOL is 2028. Need to plan for this."
Emburse,,In service,Nancy Le,TBD,,Expense Management Software,Certify,Reimbursement,,,,,,,
Empower,,In service,Mark Walton,All,,401k Platform & Website,,,,,,,,,
Empyrean,,In service,Laura Prince,All,,Benefit Administration ,,,,,,,,,
ESOP Connection-Blue Ridge,,In service,Sheila Pelletier,All,,ESOP Administration,,,,,,,,,
Excel 2019,,Unknown,,TBD,,Spreadsheet Software,,,,,,,,,
Freescout,,In service,"Geremia Doan, Anthony Trujillo",TBD,,Ticketing software,,Ticketing,,,,,,,
Google Chrome,,In service,"Anthony Trujillo, Geremia Doan",TBD,,Web Browser,,,,,,,,,
Google Drive,,In service,"Anthony Trujillo, Geremia Doan",TBD,,Cloud Storage,,,,,,,,,
Google Gmail,,In service,"Anthony Trujillo, Geremia Doan",TBD,,Email Service,,,,,,,,,
Google Maps,,Unknown,Anthony Trujillo,TBD,,Mapping Service,,,,,,,,,
Google Meet,,In service,"Anthony Trujillo, Geremia Doan",TBD,,Video Meeting Software,,Meeting,,,,,,,
Google Sheets,,In service,"Anthony Trujillo, Geremia Doan",TBD,,Spreadsheet Software,,Database,,,,,,,
Google Sites,,In service,Anthony Trujillo,TBD,,Website builder,,Website builder,,,,,,,
Google Workspace,,In service,"Anthony Trujillo, Geremia Doan",TBD,,Productivity and Collaboration Tools,,,,,,,,,
Greenshades,,In service,Jon Andrews,TBD,,1099,,,,,,,,,
Halo,,Unknown,,TBD,,Safety Solutions,,,,,,,,,
IBM MaaS360,,In service,Anthony Trujillo,TBD,,Apple Device Management,,MDM,,,,,,,
Jamf,,In service,Anthony Trujillo,TBD,,Apple Device Management,,MDM,,,,,,,
Jamf Now,,In service,Anthony Trujillo,TBD,,MDM software,,,,,,,,,
Lease Query,,In service,Marc Johnson,TBD,,Lease Management Software,,,,,,,,,
Lockton,,In service,Mark Walton,NACS,,File Storage,,,,,,,,,
M Benefit Solutions,,In service,Monique Nguyen,All,,Nonqualified Deferred Compensation Plan Plaform & Website,,,,,,,,,
Maas360,,In service,Anthony Trujillo,TBD,,Mobile Device Management,,Under review,,,,,,,
Mekorma,,In service,,TBD,,Check writing software,,,,,,,,,
Menu2U,,Unknown,,TBD,,Food Service Management,,,,,,,,,
Meraki,,Under Review,Geremia Doan,TBD,,Networking Solutions,,,,,,,,,
Microsoft Active Directory,,In service,Tom Jarrell,TBD,,Directory Services,,User Management,,,,,,,
Microsoft Group Policy,,In service,Tom Jarrell,TBD,,Group Policy Management,,User Management,,,,,,,
Microsoft Office,,In service,Tom Jarrell,TBD,,Productivity Software,,,,,,,,,
Monday.com,,Unknown,Joy McCracken,TBD,,Project Management Software,,,,,,,,,
MyAbility,,Unknown,,TBD,,Healthcare IT Solutions,,,,,,,,,
NetHealth Therapy,NetHealth,In service,Sheri Masuda,All,,Therapy Management Software,,Rehab,,,,,,,
,,,,,,,,,,,,,,,
NinjaOne,,In service,Anthony Trujillo,TBD,,IT Management Software,,"Remote Access,Endpoint management",,,,,,,
Notion,,Unknown,Anthony Trujillo,TBD,,Collaboration Software,,,,,,,,,
Nutanix,,Under Review,Geremia Doan,TBD,,,,,44849.53,Annually,2024-09-21,2025-09-20,,"nth_sow.pdf
nth_nutanix_renewal.pdf",
Payflex,,In service,Laura Prince,All,,HSA Plaform & website,,,,,,,,,
PC Ace,,In service,Joelle Moore,TBD,,Medical Billing Software,,,,,,,,,
PC Print,,Archived,Joelle Moore,TBD,,Medicare Remits (we now use Waystar),,,,,,,,,
PCC ChartPic,PCC,In service,Rogi Poblete,TBD,,Healthcare Documentation Management,,,,,,,,,
PCC Point of Care,PCC,In service,Rogi Poblete,TBD,,Point of Care Management,,Charting,,,,,,,
PCC Secure Conversations,PCC,In service,Rogi Poblete,TBD,,Secure Healthcare Conversations,,,,,,,,,
PCC Skin and Wound,PCC,In service,Rogi Poblete,TBD,,Healthcare Skin and Wound Management,,,,,,,,,
Phonevite,,In service,,RPCC,,Voice Broadcasting Service,,,,,,,,,
Relias,,In service,"Sheila Pelletier, Anthony Trujillo, Geremia Doan",TBD,,Healthcare Training and Education,,Training,,,,,,,
SentinelOne,,In service,Geremia Doan,TBD,,Cybersecurity Solutions,,Security,,,,,,,
ShareFile,,In service,Mark Walton,All,,HIPAA File Transfer and File Storage,,,,,,,,,
Simple LTC,,Unknown,,TBD,,,,,,,,,,,
Skype for iPad,,Unknown,,TBD,,Video Conferencing Controller,,,,,,,,,
Snagit,,In service,,,,Screenshot and video capture software,,,,,,,,,
Sysco,,In service,,RPCC,,Food Distribution,,,,,,,,,
TigerConnect,,Unknown,Grace Chavez,TBD,,Secure Communication for Healthcare,,,,,,,,,
Ubiquiti,,In service,Anthony Trujillo,TBD,,Networking Technology,,,,,,,,,
Ubiquiti Network,,In service,"Anthony Trujillo, Geremia Doan",TBD,,Network Management Solutions,,Networking,,,,,,,
Ubiquiti Protect,,In service,"Anthony Trujillo, Geremia Doan",TBD,,Security Camera Solutions,,,,,,,,,
UKG Pro (Ultipro),,In service,,TBD,,Human Capital Management Software,,Payroll,,,,,,,
VSee,,Unknown,,TBD,,Telehealth Solutions,,,,,,,,,
Waystar,,In service,Joelle Moore,TBD,,Clearing House - Revenue Cycle Management,,,,,,,,,
Webex,,In service,,TBD,,Video Conferencing Software,,Under review,,,,,,,
Webex Meetings,,Unknown,,TBD,,Video Conferencing Software,,,,,,,,,
WhatsApp,,Unknown,,TBD,,Messaging App,,,,,,,,,
Word 2019,,Unknown,,TBD,,Word Processing Software,,,,,,,,,
Wordpress,,In service,"Geremia Doan, Anthony Trujillo",TBD,,Website builder,,Website builder,,,,,,,
Zoom Rooms Controller,,Unknown,,TBD,,Data Protection and Backup,,,,,,,,,
Signal,,In service,Grace Chavez,Terrace View,,,,,,,,,,,
Snipping Tools,,In service,,,,Screenshot software,,,,,,,,,
Great Plains,,In service,Jon Andrews,All,,Accounting software (ERP),,,,,,,,,
Integration Manager,,In service,Jon Andrews,All,,Accounting uploader (may be part of ERP)?,,,,,,,,,
Management Reporter,,In service,Jon Andrews,All,,Financial reporting software,,,,,,,,,
ASAP Utilities,,In service,,TBD,,Excel Add-on which provide pre-programmed marcos-like functionality.,,,,,,,,,
Microsoft One Note,,In service,,TBD,,"Electronic ""notebook"" to take take notes",,,,,,,,,
Microsoft Outlook,,In service,,TBD,,Email/calendar interface,,,,,,,,,Added this even though it would be considered part of Microsoft Office but not all may use this program
Google Chat,,In service,,TBD,,Real time messaging system.,,,,,,,,,
Thomas & Company,,In service,Sheila Pelletier,All,,Unemployment Claims and Hearing Notifications from EDD,,,,,,,,,Thomas and Company has POA to act on behalf of our locations with regards to EDD.  This system tracks and notifies us of any claims or hearings and the outcomes.
Blue Ridge Associates,,In service,"Mark Walton, Sheila Pelletier",All,,ESOP Account System,,,,,,,,,
Canva,,In service,"Emily Wolf, Sheila Pelletier",NACS,,Marketing Software,,,,,,,,,Used for Newsletters and Flyers
Indeed,,In service,Sheila Pelletier,NACS,,Recruiting Platform,,,,,,,,,
Yelp Reviews,,In service,Needs owner/currently facility admin,All Facilities,,,,,,,,,,,It appears that this is currently being handled by the facility administrators. Opportunity to define centralized ownership and a standard approach
Google Reviews,,In service,Needs owner/currently facility admin,All Facilities,,,,,,,,,,,It appears that this is currently being handled by the facility administrators. Opportunity to define centralized ownership and a standard approach
CompWatch,,In service,Joelean Beddingfield,NACS,,Inputting claims - Got this software in 2012 and do not need to renew it. I have been adding claims to Ultipro since 2022 or 2023.  ,,,,,,,,,
Adobe Acrobat Reader,,In service,Joelean Beddingfield,NACS,,View and saving documents,,,,,,,,,
Excel 2016,,In service,Joelean Beddingfield,NACS,,spreadsheets for claims,,,,,,,,,
Google Chrome,,In service,Joelean Beddingfield,NACS,,"Placing Amazon orders for the service center, USPS, CDPH website, PECOS website, NPPES website, .gov website, Nursing Home Admin website,",,,,,,,,,
Google Meet,,In service,Joelean Beddingfield,NACS,,Training for new DSD's and Administrators,,,,,,,,,
Google Sheets,,In service,Joelean Beddingfield,NACS,,Sharing documents with other departments,,,,,,,,,
NinjaOne,,In service,Joelean Beddingfield,NACS,,Logging into my desktop from my laptop at home,,,,,,,,,
Relias,,In service,Joelean Beddingfield,NACS,,Completing Relias courses,,,,,,,,,
Canva,,In service,Joelean Beddingfield,NACS,,Flyers for work events,,,,,,,,,
Indeed,,In service,Joelean Beddingfield,NACS,,Post ads when needed,,,,,,,,,
powerDMS,,,,,,,,,,,,,,,
